,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
0,002938.SZ,20201231,49.67,56.1,58.38,47.16,55.65,-5.979999999999997,-10.7457,266865471.0,13782633765.48
1,002938.SZ,20201130,55.65,47.7,55.75,46.51,48.95,6.699999999999996,13.6874,196590015.0,10071362014.43
2,002938.SZ,20201030,48.95,58.6,61.57,47.72,57.19,-8.239999999999995,-14.4081,168990579.0,9126735127.26
3,002938.SZ,20200930,57.19,48.48,59.24,45.06,48.9,8.29,16.953,235352849.0,12512287321.8
4,002938.SZ,20200831,48.9,52.3,52.75,44.9,51.0,-2.1000000000000014,-4.1176,206820930.0,10037619644.11
5,002938.SZ,20200731,51.0,49.8,55.1,43.76,50.06,0.9399999999999977,1.8777,339985957.0,17000320206.1
6,002938.SZ,20200630,50.06,42.54,52.9,42.54,42.01,8.050000000000004,19.1621,237179715.0,11574406151.98
7,002938.SZ,20200529,41.5618,41.6508,43.8076,38.9796,41.3441,0.21770000000000067,0.5266,167805254.0,7043366899.64
8,002938.SZ,20200430,41.3441,31.5201,42.4126,31.4706,31.4211,9.922999999999998,31.5807,251669008.0,9369478844.28
9,002938.SZ,20200331,31.4211,42.3434,44.8661,29.0566,41.7597,-10.338600000000003,-24.7574,318764316.0,11709958798.48
10,002938.SZ,20200228,41.7597,44.5001,54.3637,40.0679,49.4468,-7.687100000000001,-15.5462,263709863.0,12524911670.92
11,002938.SZ,20200123,49.4468,44.421,51.1781,44.421,44.421,5.025800000000004,11.314,125003708.0,6065918578.55
12,002938.SZ,20191231,44.421,48.8729,53.4239,41.6805,48.8729,-4.451900000000002,-9.1091,206349961.0,9935134143.64
